slug,title,source_name,source_link,legal_text,legal_link,id,Dataset / sub-dataset,Site,Data Coverage,Start Year,Latest Year
itip_goods,I-TIP Goods,WTO I-TIP Goods,https://i-tip.wto.org/goods,World Trade Organization,https://www.wto.org/english/info_e/cont_e.htm#Copyright,44,WTO Integrated Trade Intelligence Portal (I-TIP) antidumping and countervailing,tc,2005-2016,2005,2016
itip_goods,I-TIP Goods,WTO I-TIP Goods,https://i-tip.wto.org/goods,World Trade Organization,https://www.wto.org/english/info_e/cont_e.htm#Copyright,44,WTO Integrated Trade Intelligence Portal (I-TIP),tc,2005-2016,2005,2016
escap,ESCAP,ESCAP,http://data.worldbank.org/data-catalog/trade-costs-dataset,World Bank Group,http://www.worldbank.org/terms-datasets,45,ESCAP Trade Costs Database,tc,1995 - 2015,1995,2015
innovation_indicators,OECD Innovation Indicators,OECD,http://www.oecd.org/innovation/inno/inno-stats.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,46,OECD Innovation Indicators,tc,"2013, 2015",2013,2015
investing_across_borders,Investing Across Borders,WBG - Investing Across Borders,http://iab.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,47,Investing Across Borders,tc,"2010, 2012",2010,2012
women_business_and_the_law,"Women, Business and the Law","WBG - Women, Business and the Law",http://wbl.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,48,"Women, Business, and the Law",both,N/A (duplicate dataset),N/A (duplicate dataset),N/A (duplicate dataset)
logistics_performance_index,Logistics Performance Index,WBG - Logistics Performance Index,http://lpi.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,50,Logistics Performance Index,tc,"2007, 2010, 2012, 2014, 2016",2007,2016
global_competitiveness_index,World Economic Forum Global Competitiveness Index,World Economic Forum Global Competitiveness Index,http://reports.weforum.org/global-competitiveness-index/,World Economic Forum,https://www.weforum.org/about/privacy-and-terms-of-use,53,World Economic Forum: Global Competitiveness Index,tc,N/A (duplicate dataset),N/A (duplicate dataset),N/A (duplicate dataset)
heritage_index_of_economic_freedom,Heritage Index of Economic Freedom,Heritage Index of Economic Freedom,http://www.heritage.org/index/download,Heritage Index of Economic Freedom,http://www.heritage.org/Copyright,54,Heritage Foundation Index of Economic Freedom,tc,2013-2016,2013,2016
wits,World Integrated Trade Solution,WBG - WITS,http://wits.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,55,World Integrated Trade Solution (WITS),tc,1988-2015,1988,2015
world_development_indicators,World Development Indicators,WBG - World Development Indicators,http://data.worldbank.org/data-catalog/world-development-indicators,World Bank Group,http://www.worldbank.org/terms-datasets,56,World Development Indicators,tc,1960 - 2016,1960,2016
itip_services,I-TIP Services,WTO I-TIP Services,https://i-tip.wto.org/services/default.aspx,World Trade Organization,https://www.wto.org/english/info_e/cont_e.htm#Copyright,57,WTO Integrated Trade Intelligence Portal (I-TIP),tc,Last 3 years of available data. Ideally 2005-2016,2009/2011/2014 (varies),2016
national_expert_survey,Global Entrepreneurship Monitor National Expert Survey,Global Entrepreneurship Monitor National Expert Survey,http://www.gemconsortium.org/data/sets,Global Entrepreneurship Research Association,http://www.gemconsortium.org/wiki/665,58,Global Entrepreneurship Monitor,tc,2007-2016,2007,2016
adult_population_survey,Global Entrepreneurship Monitor Adult Population Survey,Global Entrepreneurship Monitor Adult Population Survey,http://www.gemconsortium.org/data/sets,Global Entrepreneurship Research Association,http://www.gemconsortium.org/wiki/665,59,Global Entrepreneurship Monitor,tc,2001-2016,2001,2016
timely_indicators_of_entrepreneurship,Timely Indicators of Entrepreneurship,OECD,https://stats.oecd.org/Index.aspx?DataSetCode=TIMELY_BDS_ISIC4,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,60,OECD Timely Indicators of Entrepreneurship,tc,2007Q1-2017Q1,2007,2017
stri,Services Trade Restrictiveness Index,OECD,http://stats.oecd.org/Index.aspx?DataSetCode=STRI,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,61,OECD Services Trade Restrictiveness Index,tc,2014-2016,2014,2016
enabling_the_business_of_agriculture,Enabling the Business of Agriculture,WBG - Enabling the Business of Agriculture,http://eba.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,62,Enabling the Business of Agriculture,tc,,,
rulemaking,Citizen Engagement in Rulemaking,WBG - Citizen Engagement in Rulemaking,http://rulemaking.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,63,Citizen Engagement in Rulemaking,tc,,,
temporary_trade_barriers,Temporary Trade Barriers Database,WBG - Temporary Trade Barriers,"http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/EXTPROGRAMS/EXTTRADERESEARCH/0,,contentMDK:22561572~pagePK:64168182~piPK:64168060~theSitePK:544849,00.html",World Bank Group,http://www.worldbank.org/terms-datasets,64,Temporary Trade Barriers,tc,1980 - 2011,1980,2015
global_information_technology_report,WEF: Global Information Technology Report,WEF - Global Information Technology Report,https://www.weforum.org/reports/the-global-information-technology-report-2016,World Economic Forum,https://www.weforum.org/about/privacy-and-terms-of-use,65,World Economic Forum: Global Information Technology Report,tc,2001-2016,2001,2016
product_market_regulation,OECD Product Market Regulation Database,OECD Product Market Regulation Database,https://www.oecd.org/eco/growth/indicatorsofproductmarketregulationhomepage.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,68,OECD Product Market Regulation Database,tc,"1998, 2003, 2008 and 2013",1998,2013
wiod,World Input Output Database,World Input Output Database,http://www.wiod.org/new_site/home.htm,World Input Output Database,http://www.wiod.org/new_site/database/wiots.htm,69,World Input-Output Database,tc,2000-2014,1995,2014
entrepreneurship_at_a_glance,Entrepreneurship at a Glance,OECD - Entrepreneurship at a Glance,http://www.oecd.org/std/business-stats/entrepreneurship-at-a-glance-22266941.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,70,Entrepreneurship at a Glance,tc,2007-2016,2010,2016
most_problematic_factors,WEF GCI Most Problematic Factors,World Economic Forum Global Competitiveness Index: Most Problematic Factors,http://reports.weforum.org/global-competitiveness-index/downloads/,World Economic Forum,https://www.weforum.org/about/privacy-and-terms-of-use,71,WEF GCI Most Problematic Factors,tc,2007-2017,2007,2016
world_economic_outlook,World Economic Outlook,IMF - World Economic Outlook,http://www.imf.org/external/ns/cs.aspx?id=28,International Monetary Fund,http://www.imf.org/external/terms.htm,72,IMF World Economic Outlook,tc,1980-2018 (projections),1980,2018 (projection)
measuring_export_competitiveness,Measuring Export Competitiveness,WBG - Measuring Export Competitiveness,https://mec.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,73,Measuring Export Competitiveness,tc,2006-2016,2006,2016
direction_of_trade,Direction of Trade,IMF,http://data.imf.org/?sk=9D6028D4-F14A-464C-A2F2-59B2CD424B85,International Monetary Fund,http://www.imf.org/external/terms.htm,74,IMF Direction of Trade Statistics,tc,1948-2016,1948,2016
tiva,Trade in Value Added,OECD,http://www.oecd.org/sti/ind/measuringtradeinvalue-addedanoecd-wtojointinitiative.htm,Organization for Economic Co-operation and Development (OECD),http://www.oecd.org/termsandconditions/,75,Trade in Value Added,tc,1995-2011,1995,2011
unctadstat,United Nations Conference on Trade and Development Statistics,UNCTADSTAT,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx?sCS_ChosenLang=en,UNCTADSTAT,http://unctadstat.unctad.org/EN/FAQ.html,76,UN Conference on Trade and Development (UNCTAD),tc,N/A (too general),N/A (too general),N/A (too general)
competitive_industrial_performance,Competitive Industrial Performance Index,UNIDO - Competitive Industrial Performance Index,http://www.unido.org/data1/Statistics/Research/cip.html,United Nations Industrial Development Organization,http://www.unido.org/legal.html,77,UN Industrial Development Organization,tc,1990-2015,1990,2015
travel_tourism_competitiveness,Travel & Tourism Competitiveness Index,World Economic Forum Travel & Tourism Competitiveness Index,http://reports.weforum.org/travel-and-tourism-competitiveness-report-2017/downloads/,World Economic Forum,https://www.weforum.org/about/privacy-and-terms-of-use,78,WEF Travel and Tourism Competitiveness Report,tc,"2015, 2017",2015,2017
world_travel_tourism_council,World Travel & Tourism Council,World Travel & Tourism Council,https://tool.wttc.org/,World Travel & Tourism Council,https://tool.wttc.org/housekeeping/terms-and-conditions,79,World Travel and Tourism Council,tc,2006-2016,2006,2016
environmental_performance_index,Environmental Performance Index,Yale Environmental Performance Index,http://epi.yale.edu/downloads,Yale University,http://epi.yale.edu/about,80,Yale Environmental Performance Index,tc,"2006, 2008, 2010, 2012, 2014, 2016",2006,2016
sustainable_energy_for_all,Sustainable Energy For All,WBG - Global Tracking Framework: Sustainable Energy For All,http://trackingenergy4all.worldbank.org/,World Bank Group,http://www.worldbank.org/terms-datasets,81,Global Tracking Framework,tc,1990 - 2010,1990,2010
WJP,World Justice Project,World Justice Project,http://worldjusticeproject.org/historical-data,World Justice Project,http://worldjusticeproject.org/,82,World Justice Project,gv,2012-2016,2012,2016
WBL,"Women, Business and the Law","WBG - Women, Business and the Law",http://wbl.worldbank.org,World Bank Group,http://www.worldbank.org/terms-datasets,84,"Women, Business, and the Law",both,"2010, 2012, 2014, 2016",2010,2016
TI,Corruption Perceptions Index,Transparency - Corruption Perceptions Index,http://www.transparency.org/research/cpi/cpi_1998/0/,Transparency International,https://www.transparency.org/permissions/,85,Corruption Perceptions Index,gv,1995-2016,1995,2016
SGI,Sustainable Governance Indicators,Sustainable Governance Indicators,http://www.sgi-network.org/2016/Downloads,Bertelsmann Stiftung,http://www.sgi-network.org/2016/FAQ,86,Sustainable Governance Indicators,gv,2005-2015,2005,2015
SC,Statistical Capacity,WBG - Statistical Capacity,http://datatopics.worldbank.org/statisticalcapacity/,World Bank Group,http://www.worldbank.org/terms-datasets,87,Statistical Capacity,gv,2004 - 2016,2004,2016
QOG,Quality of Govt,Quality of Govt,http://qog.pol.gu.se/data/datadownloads/qogexpertsurveydata,University of Gothenburg,http://www.gu.se/english,88,Quality of Govt,gv,2008-2012,2008,2012
PIV,Polity IV,Polity IV,http://www.systemicpeace.org/inscrdata.html,Center for Systemic Peace,http://www.systemicpeace.org/inscrdata.html,89,Polity IV,gv,1800-2015,1800,2015
LatinBar,Latinobarometro,Latinobarometro,http://www.latinobarometro.org/latContents.jsp,Latinobarometro,http://www.latinobarometro.org/latContents.jsp,90,Latinobarometro,none,,,
IBP,IBP Open Budget Index,IBP - Open Budget Index,http://survey.internationalbudget.org/#download,International Budget Partnership,http://www.internationalbudget.org/library/copyright/,92,IBP Open Budget Index,gv,"2006, 2008, 2010, 2012, 2015, 2017",2006,2017
GCB,Global Corruption Barometer,Transparency - Global Corruption Barometer,http://www.transparency.org/research/gcb/gcb_2015_16,Transparency International,https://www.transparency.org/permissions/,96,Global Corruption Barometer,none,,,
FSI,Failed States Index,Fund for Peace - Failed States Index,http://fundforpeace.org/fsi/excel/,The Fund for Peace,http://fundforpeace.org/fsi/frequently-asked-questions/does-the-public-have-access-to-the-data-in-this-index/,97,Failed States Index,gv,2006-2017,2006,2017
FAD_FR,Fiscal Rules Dataset,IMF - Fiscal Rules Dataset,http://www.imf.org/external/datamapper/FiscalRules/map/map.htm,International Monetary Fund,http://www.imf.org/external/terms.htm,98,Fiscal Rules Dataset,gv,1985-2015,1985,2015
ES,Enterprise Surveys,WBG - Enterprise Surveys,http://www.enterprisesurveys.org,World Bank Group,http://www.worldbank.org/terms-datasets,99,Enterprise Surveys,both,2005 - 2014,2005,2014
DAGI,"Development, Aid and Governance Indicators","Development, Aid and Governance Indicators",https://www.brookings.edu/interactives/development-aid-and-governance-indicators-dagi/,The Brookings Institution,https://www.brookings.edu/,101,"Development, Aid and Governance Indicators",none,,,
CPIA,Country Policy and Institutional Assessments,WBG - Country Policy and Institutional Assessments,http://data.worldbank.org/data-catalog/CPIA,World Bank Group,http://www.worldbank.org/terms-datasets,102,Country Policy and Institutional Assessments,both,2005 - 2016,2005,2016
ArabBarAll,ArabBarometer,ArabBarometer,http://www.arabbarometer.org/instruments-and-data-files,ArabBarometer,http://www.arabbarometer.org/instruments-and-data-files,104,ArabBarometer,none,,,
AfroBarAll,AfroBarometer,AfroBarometer,http://www.afrobarometer.org/data/merged-data,AfroBarometer,http://www.afrobarometer.org/data/data-use-policy,105,AfroBarometer,none,,,
PAM_IAD,Public Accountability Mechanisms Income and Disclosure,AGI - Public Accountability Mechanisms Income and Disclosure,https://govdata360.worldbank.org/,AGI Data,https://govdata360.worldbank.org/,145,Public Accountability Mechanisms Income and Disclosure,gv,1987-2016,1987,2016
PAM,Public Accountability Mechanisms Freedom of Information,AGI - Public Accountability Mechanisms Freedom of Information,https://govdata360.worldbank.org/,AGI Data,https://govdata360.worldbank.org/,146,Public Accountability Mechanisms Freedom of Information,gv,1987-2016,1987,2016
PIM,Public Investment Management,AGI - Public Investment Management,https://govdata360.worldbank.org/,AGI Data,https://govdata360.worldbank.org/,147,Public Investment Management,gv,1987-2016,1987,2016
Global_Integrity,Global Integrity Index,Global Integrity Index,https://www.globalintegrity.org/downloads/,Global Integrity,https://creativecommons.org/licenses/by/3.0/us/,428,Global Integrity Index,gv,"2004, 2006-2011",2004,2011
Global_Indicators,Global Indicators of Regulatory Governance,WBG - Global Indicators of Regulatory Governance,http://rulemaking.worldbank.org/,World Bank Group,http://www.worldbank.org/terms-datasets,429,Global Indicators of Regulatory Governance,gv,December 2015– April 2016,2015,2016
GCI,Global Competitiveness Index,WEF - Global Competitiveness Index,http://reports.weforum.org/global-competitiveness-index/downloads/,World Economic Forum,https://www.weforum.org/about/privacy-and-terms-of-use,430,World Economic Forum: Global Competitiveness Index,both,2007-2017,2007,2016
DB,Doing Business,WBG - Doing Business,http://www.doingbusiness.org/rankings,World Bank Group,http://www.worldbank.org/terms-datasets,435,Doing Business,both,2004 - 2016,2004,2016
PAY_EMP,Pay and Employment,AGI - Pay and Employment,https://govdata360.worldbank.org/,AGI Data,https://govdata360.worldbank.org/,479,Pay and Employment,gv,1987-2016,1987,2016
HRM,Human Resource Management,AGI - Human Resource Management,https://govdata360.worldbank.org/,AGI Data,https://govdata360.worldbank.org/,483,Human Resource Management,gv,1987-2016,1987,2016
WGI,Worldwide Governance Indicators,Worldwide Governance Indicators,http://info.worldbank.org/governance/wgi/index.aspx#home,World Bank Group,http://www.worldbank.org/terms-datasets,485,Worldwide Governance Indicators,both,1996 - 2015,1996,2015
IPU,Inter-Parliamentary Union,Inter-Parliamentary Union,http://www.ipu.org/wmn-e/classif-arc.htm,Inter-Parliamentary Union,http://www.ipu.org/parline-e/aboutparline.htm,495,Inter-Parliamentary Union,gv,1997-2017,1997,2017
BTI,Bertelsmann Transformation Index,Bertelsmann Transformation Index,https://www.bti-project.org/en/reports/downloads/,Bertelsmann Stiftung,https://creativecommons.org/licenses/by/4.0/,505,Bertelsmann Transformation Index,both,"2006, 2008, 2010, 2012, 2014, 2016",2006,2016
ITU Database,ITU Database,ITU Database,http://www.itu.int/en/ITU-D/Statistics/Pages/publications/wtid.aspx,International Telecommunications Union,http://www.itu.int/en/ITU-D/Statistics/Pages/faq/default.aspx,508,ITU Database,tc,2000-2016,2000,2016
"Global Findex 2014, World Bank",WB: Financial Inclusion Index (Findex),WB - Financial Inclusion Index (Findex),http://www.worldbank.org/en/programs/globalfindex,World Bank Group,http://www.worldbank.org/terms-datasets,509,Financial Inclusion Index,tc,2011 - 2014,2011,2014
UPU,UPU,UPU,http://www.upu.int/en/resources/postal-statistics/query-the-database.html,Universal Postal Union,http://www.upu.int/en/more/copyright.html,510,UPU,tc,1992-2015,1980,2015
"Networked Readiness Index, World Economic Forum",Networked Readiness index,WEF - Networked Readiness Index,http://reports.weforum.org/global-information-technology-report-2016/downloads/,World Economic Forum,https://www.weforum.org/about/privacy-and-terms-of-use,511,Networked Readiness index,tc,2012-2016,2001,2016
UNCTAD Cyberlaw Tracker,UNCTAD Cyberlaw Tracker,UNCTAD Cyberlaw Tracker,http://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Global-Legislation.aspx,United Nations,http://unctad.org/en/Pages/Copyright-notice.aspx,512,UNCTAD Cyberlaw Tracker,tc,2016,2016,2016
UNCTAD,UNCTAD,UNCTAD,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx?sCS_ChosenLang=en,United Nations,http://unctad.org/en/Pages/Copyright-notice.aspx,76,UNCTAD FDI Data,tc,1948-2015,1948,2015
UNCTAD,UNCTAD,UNCTAD,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx?sCS_ChosenLang=en,United Nations,http://unctad.org/en/Pages/Copyright-notice.aspx,76,UNCTAD Trade indicators,tc,1948-2015,1948,2015
UNCTAD,UNCTAD,UNCTAD,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx?sCS_ChosenLang=en,United Nations,http://unctad.org/en/Pages/Copyright-notice.aspx,76,UNCTAD Merchandise Trade matrix,tc,1995-2016,1995,2016
